Using device: mps
/Users/loiclambert/code/colliderml-electron-calo/.venv/lib/python3.11/site-packages/torch/nn/modules/transformer.py:286: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(f"enable_nested_tensor is True, but self.use_nested_tensor is False because {why_not_sparsity_fast_path}")
epoch 001 | train loss 0.752501 | val loss 0.590875 | best val loss 0.590875
epoch 002 | train loss 0.586680 | val loss 0.556689 | best val loss 0.556689
epoch 003 | train loss 0.515303 | val loss 0.549237 | best val loss 0.549237
epoch 004 | train loss 0.437382 | val loss 0.525855 | best val loss 0.525855
epoch 005 | train loss 0.407024 | val loss 0.482639 | best val loss 0.482639
epoch 006 | train loss 0.382738 | val loss 0.482278 | best val loss 0.482278
epoch 007 | train loss 0.374325 | val loss 0.476865 | best val loss 0.476865
epoch 008 | train loss 0.355726 | val loss 0.442345 | best val loss 0.442345
epoch 009 | train loss 0.312254 | val loss 0.433444 | best val loss 0.433444
epoch 010 | train loss 0.318007 | val loss 0.450225 | best val loss 0.433444
epoch 011 | train loss 0.298218 | val loss 0.433909 | best val loss 0.433444
epoch 012 | train loss 0.277318 | val loss 0.427301 | best val loss 0.427301
epoch 013 | train loss 0.239759 | val loss 0.411581 | best val loss 0.411581
epoch 014 | train loss 0.235398 | val loss 0.413593 | best val loss 0.411581
epoch 015 | train loss 0.215565 | val loss 0.448121 | best val loss 0.411581
epoch 016 | train loss 0.205334 | val loss 0.415299 | best val loss 0.411581
epoch 017 | train loss 0.198797 | val loss 0.444425 | best val loss 0.411581
epoch 018 | train loss 0.184485 | val loss 0.434065 | best val loss 0.411581
epoch 019 | train loss 0.164086 | val loss 0.444651 | best val loss 0.411581
epoch 020 | train loss 0.128251 | val loss 0.439379 | best val loss 0.411581
Saved checkpoint to checkpoints/concat_baseline.pt
